id,ident,type,name,municipality,iso_country,iata,icao,latitude_deg,longitude_deg
22107,PAML,small_airport,Manley Hot Springs Airport,Manley Hot Springs,US,MLY,PAML,64.99188,-150.644102
22496,PAMM,seaplane_base,Metlakatla Seaplane Base,Metlakatla,US,MTM,PAMM,55.131001,-131.578003
22305,PAMO,small_airport,Mountain Village Airport,Mountain Village,US,MOU,PAMO,62.095401763916016,-163.6820068359375
5386,PAMR,medium_airport,Merrill Field,Anchorage,US,MRI,PAMR,61.212792,-149.843988
5387,PAMY,medium_airport,Mekoryuk Airport,Mekoryuk,US,MYU,PAMY,60.372338,-166.269751
25894,PANA,small_airport,Napakiak Airport,Napakiak,US,WNA,PANA,60.6903,-161.979004
5388,PANC,large_airport,Ted Stevens Anchorage International Airport,Anchorage,US,ANC,PANC,61.179004,-149.992561
16291,PANI,medium_airport,Aniak Airport,Aniak,US,ANI,PANI,61.58160018920898,-159.54299926757812
17468,PANR,seaplane_base,Funter Bay Seaplane Base,Funter Bay,US,FNR,PANR,58.2543983459,-134.897994995
5417,PANU,small_airport,Nulato Airport,Nulato,US,NUL,PANU,64.729301,-158.074005
5392,PANV,medium_airport,Anvik Airport,Anvik,US,ANV,PANV,62.646702,-160.190994
20664,PANW,small_airport,New Stuyahok Airport,New Stuyahok,US,KNW,PANW,59.451838,-157.373829
23513,PAOB,small_airport,Kobuk Airport,Kobuk,US,OBU,PAOB,66.9123,-156.897003
17654,PAOH,small_airport,Hoonah Airport,Hoonah,US,HNH,PAOH,58.0961,-135.410111
5393,PAOM,medium_airport,Nome Airport,Nome,US,OME,PAOM,64.51219940185547,-165.44500732421875
24199,PAOO,small_airport,Toksook Bay Airport,Toksook Bay,US,OOK,PAOO,60.541401,-165.087006
5394,PAOR,medium_airport,Northway Airport,Northway,US,ORT,PAOR,62.9613,-141.929001
5395,PAOT,medium_airport,Ralph Wien Memorial Airport,Kotzebue,US,OTZ,PAOT,66.88469696,-162.598999
23953,PAOU,small_airport,Nelson Lagoon Airport,Nelson Lagoon,US,NLG,PAOU,56.0075,-161.160004
5396,PAPB,medium_airport,St George Airport,St George,US,STG,PAPB,56.577345,-169.663823
24081,PAPE,small_airport,Perryville Airport,Perryville,US,KPV,PAPE,55.9065,-159.16091
5398,PAPG,medium_airport,Petersburg James A Johnson Airport,Petersburg,US,PSG,PAPG,56.80170059,-132.9450073
5399,PAPH,medium_airport,Port Heiden Airport,Port Heiden,US,PTH,PAPH,56.957893,-158.630219
24205,PAPK,small_airport,Napaskiak Airport,Napaskiak,US,PKA,PAPK,60.7029,-161.778
5400,PAPM,medium_airport,Platinum Airport,Platinum,US,PTU,PAPM,59.017675,-161.827927
24197,PAPN,small_airport,Pilot Point Airport,Pilot Point,US,PIP,PAPN,57.580399,-157.572006
24089,PAPO,small_airport,Point Hope Airport,Point Hope,US,PHO,PAPO,68.348801,-166.798996
16293,PAQH,small_airport,Quinhagak Airport,Quinhagak,US,KWN,PAQH,59.7551,-161.845
5401,PAQT,medium_airport,Nuiqsut Airport,Nuiqsut,US,NUI,PAQT,70.209999,-151.005998
5402,PARC,medium_airport,Arctic Village Airport,Arctic Village,US,ARC,PARC,68.1147,-145.578995
24365,PARS,small_airport,Russian Mission Airport,Russian Mission,US,RSH,PARS,61.775071,-161.319466
5403,PARY,medium_airport,Ruby Airport,Ruby,US,RBY,PARY,64.727203,-155.470001
5404,PASA,medium_airport,Savoonga Airport,Savoonga,US,SVA,PASA,63.686401,-170.492996
5405,PASC,medium_airport,Deadhorse Airport,Deadhorse,US,SCC,PASC,70.19470215,-148.4649963
5406,PASD,medium_airport,Sand Point Airport,Sand Point,US,SDP,PASD,55.313908,-160.522099
5407,PASH,small_airport,Shishmaref Airport,Shishmaref,US,SHH,PASH,66.249604,-166.089112
5408,PASI,medium_airport,Sitka Rocky Gutierrez Airport,Sitka,US,SIT,PASI,57.04710006713867,-135.36199951171875
5384,PASK,small_airport,Selawik Airport,Selawik,US,WLK,PASK,66.600098,-159.985992
24577,PASL,small_airport,Sleetmute Airport,Sleetmute,US,SLQ,PASL,61.7005,-157.166
5409,PASM,small_airport,St Mary's Airport,St Mary's,US,KSM,PASM,62.060501,-163.302002
5410,PASN,medium_airport,St Paul Island Airport,St Paul Island,US,SNP,PASN,57.166311,-170.222555
24675,PASO,small_airport,Seldovia Airport,Seldovia,US,SOV,PASO,59.442981,-151.705227
24807,PATA,small_airport,Ralph M Calhoun Memorial Airport,Tanana,US,TAL,PATA,65.1744,-152.108994
25014,PATC,small_airport,Tin City Long Range Radar Station Airport,Tin City,US,TNC,PATC,65.563103,-167.921997
24908,PATE,small_airport,Teller Airport,Teller,US,TLA,PATE,65.240402,-166.339005
5414,PATG,small_airport,Togiak Airport,Togiak Village,US,TOG,PATG,59.052799,-160.397003
5416,PATQ,medium_airport,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,US,ATK,PATQ,70.46704,-157.436013
5389,PAUN,medium_airport,Unalakleet Airport,Unalakleet,US,UNK,PAUN,63.888401,-160.798996
25432,PAVA,small_airport,Chevak Airport,Chevak,US,VAK,PAVA,61.5409,-165.6005
21313,PAVC,small_airport,King Cove Airport,King Cove,US,KVC,PAVC,55.116299,-162.266006
5418,PAVD,medium_airport,Valdez Pioneer Field,Valdez,US,VDZ,PAVD,61.132712,-146.246567
